inx,country,countryCoded,degree,degreeCoded,eng,engCoded,fieldGroup,fund,gpaBachelors,gpaMasters,gre,highLevelBachUni,highLevelMasterUni,papersGLOB,papersIRAN,targetUni,uniRank,year
99,united states,0,Doctorate,1,Medium,2,0,TRUE,1.5,3.5,TRUE,TRUE,TRUE,5,2,oregon,-1,2008
100,sweden,2,Masters,0,VeryHigh,0,0,FALSE,2.5,3.442985691,TRUE,TRUE,FALSE,0,0,royal lnstitute of,-1,2008
101,united states,0,Doctorate,1,High,1,0,TRUE,2,3,TRUE,TRUE,TRUE,1,2,tennessee state,-1,2009
102,canada,1,Masters,0,VeryHigh,0,0,TRUE,3,3.442985691,FALSE,TRUE,FALSE,6,1,british columbia,-1,2008
103,united states,0,Doctorate,1,High,1,5,TRUE,2,2.5,TRUE,TRUE,TRUE,0,0,rensselaer polytechnic institute,-1,2008
104,sweden,2,Doctorate,1,Medium,2,7,FALSE,2.5,3.442985691,FALSE,FALSE,FALSE,0,0,wayne state,-1,2008
105,united states,0,Doctorate,1,VeryHigh,0,10,TRUE,3,3.5,TRUE,TRUE,TRUE,2,0,"california, los angeles",-1,2008
106,united states,0,Doctorate,1,Medium,2,11,TRUE,3,3.5,FALSE,TRUE,TRUE,4,0,virginia state,-1,2008
107,sweden,2,Masters,0,High,1,11,FALSE,2.5,3.442985691,FALSE,FALSE,FALSE,0,0,chalmers,-1,2008
108,sweden,2,Masters,0,High,1,0,FALSE,2,3.442985691,FALSE,TRUE,FALSE,0,0,royal lnstitute of,-1,2008
109,n/a,0,Masters,0,VeryHigh,0,0,FALSE,2,3.442985691,TRUE,FALSE,FALSE,0,0,royal lnstitute of,-1,2008
110,sweden,2,Masters,0,High,1,11,FALSE,2,3.442985691,FALSE,FALSE,FALSE,0,0,chalmers,-1,2008
111,united states,0,Masters,0,VeryHigh,0,0,TRUE,3,3.442985691,TRUE,TRUE,FALSE,1,2,ulster,-1,2008
113,canada,1,Masters,0,High,1,11,TRUE,4,3.442985691,TRUE,TRUE,FALSE,1,0,mcmaster,-1,2008
